rank_by_test_auc,rank_run_order,n_estimators,max_depth,min_samples_leaf,train_roc_auc,test_roc_auc,auc_gap_train_minus_test,train_accuracy,test_accuracy,train_balanced_accuracy,test_balanced_accuracy,train_f1,test_f1,test_precision,test_recall,overfit_flag_auc_gap_gt_0_10
11,93,1000,5,1,0.9859943977591037,0.9474025974025974,0.038591800356506334,0.938337801608579,0.8478260869565217,0.9390962267259846,0.8532467532467533,0.95929203539823,0.8939393939393939,0.9516129032258065,0.8428571428571429,False
12,80,500,None,10,0.9764788268248475,0.9474025974025974,0.029076229422250188,0.9142091152815014,0.8260869565217391,0.9193030153237766,0.8389610389610389,0.942652329749104,0.8769230769230769,0.95,0.8142857142857143,False
13,100,1000,None,10,0.9773438787279618,0.9474025974025974,0.029941281325364444,0.9168900804289544,0.8260869565217391,0.9252553962761575,0.8389610389610389,0.9443447037701975,0.8769230769230769,0.95,0.8142857142857143,False
14,52,300,4,10,0.9731421980556928,0.9474025974025972,0.02573960065309555,0.9061662198391421,0.8260869565217391,0.9098904267589388,0.8389610389610389,0.9371633752244165,0.8769230769230769,0.95,0.8142857142857143,False
15,55,300,5,5,0.979897841489537,0.9467532467532468,0.03314459473629017,0.9222520107238605,0.8478260869565217,0.9244933267424618,0.8532467532467533,0.948306595365419,0.8939393939393939,0.9516129032258065,0.8428571428571429,False
16,49,300,4,1,0.9796094908551656,0.9467532467532468,0.032856244101918786,0.9195710455764075,0.8369565217391305,0.9185409457900807,0.8461038961038961,0.9466192170818505,0.8854961832061069,0.9508196721311475,0.8285714285714286,False
17,69,500,4,1,0.9802273850716757,0.9467532467532468,0.033474138318428937,0.9249329758713136,0.8369565217391305,0.92622343054869,0.8461038961038961,0.9501779359430605,0.8854961832061069,0.9508196721311475,0.8285714285714286,False
18,96,1000,5,10,0.9759433185038721,0.9467532467532468,0.02919007175062527,0.9142091152815014,0.8260869565217391,0.9235252924699291,0.8389610389610389,0.9424460431654677,0.8769230769230769,0.95,0.8142857142857143,False
19,99,1000,None,5,0.9863239413412423,0.9467532467532468,0.03957069458799556,0.938337801608579,0.8260869565217391,0.9517630581644423,0.8389610389610389,0.9588550983899821,0.8769230769230769,0.95,0.8142857142857143,False
20,18,50,None,3,0.9924616905585762,0.9461038961038961,0.046357794454680135,0.9490616621983914,0.8804347826086957,0.9629057505355083,0.8746753246753247,0.966131907308378,0.9185185185185185,0.9538461538461539,0.8857142857142857,False
21,98,1000,None,3,0.9943153732081067,0.9461038961038961,0.04821147710421059,0.9544235924932976,0.8804347826086957,0.9663659581479651,0.8746753246753247,0.9698046181172292,0.9185185185185185,0.9538461538461539,0.8857142857142857,False
22,20,50,None,10,0.9721947602570441,0.9461038961038961,0.026090864153147986,0.900804289544236,0.8369565217391305,0.9148747734387872,0.8616883116883116,0.9328493647912885,0.8837209302325582,0.9661016949152542,0.8142857142857143,False
23,57,300,None,1,1.0,0.9461038961038961,0.053896103896103886,1.0,0.9021739130434783,1.0,0.8577922077922078,1.0,0.9361702127659575,0.9295774647887324,0.9428571428571428,False
24,33,100,5,1,0.9861179766024056,0.9461038961038961,0.04001408049850952,0.9410187667560321,0.8478260869565217,0.9408263305322129,0.8532467532467533,0.9611307420494699,0.8939393939393939,0.9516129032258065,0.8428571428571429,False
25,70,500,4,3,0.9777146152578678,0.9461038961038961,0.031610719153971734,0.9195710455764075,0.8369565217391305,0.9227632229362333,0.8461038961038961,0.9464285714285714,0.8854961832061069,0.9508196721311475,0.8285714285714286,False
26,71,500,4,5,0.9760668973471741,0.9461038961038961,0.029963001243277998,0.9142091152815014,0.8369565217391305,0.915080738177624,0.8461038961038961,0.9428571428571428,0.8854961832061069,0.9508196721311475,0.8285714285714286,False
27,95,1000,5,5,0.9796918767507002,0.9461038961038961,0.03358798064680413,0.9195710455764075,0.8369565217391305,0.9269855000823859,0.8461038961038961,0.946236559139785,0.8854961832061069,0.9508196721311475,0.8285714285714286,False
28,89,1000,4,1,0.9808040863404185,0.9461038961038961,0.03470019023652238,0.9249329758713136,0.8260869565217391,0.9304457076948427,0.8389610389610389,0.95,0.8769230769230769,0.95,0.8142857142857143,False
29,90,1000,4,3,0.9786620530565167,0.9461038961038961,0.03255815695262054,0.9222520107238605,0.8260869565217391,0.9287156038886142,0.8389610389610389,0.9481216457960644,0.8769230769230769,0.95,0.8142857142857143,False
30,54,300,5,3,0.9810100510792552,0.946103896103896,0.034906154975359205,0.9222520107238605,0.8478260869565217,0.9287156038886142,0.8532467532467533,0.9481216457960644,0.8939393939393939,0.9516129032258065,0.8428571428571429,False
31,31,100,4,5,0.9756961608172681,0.9454545454545454,0.03024161536272263,0.9142091152815014,0.8586956521739131,0.9108584610314714,0.8603896103896104,0.9430604982206405,0.9022556390977443,0.9523809523809523,0.8571428571428571,False
32,51,300,4,5,0.9756137749217334,0.9454545454545454,0.030159229467187965,0.9088471849865952,0.8369565217391305,0.9116205305651672,0.8461038961038961,0.9390681003584229,0.8854961832061069,0.9508196721311475,0.8285714285714286,False
33,59,300,None,5,0.9864063272367771,0.9454545454545454,0.04095178178223169,0.935656836461126,0.8260869565217391,0.9500329543582139,0.8389610389610389,0.956989247311828,0.8769230769230769,0.95,0.8142857142857143,False
34,79,500,None,5,0.9862003624979404,0.9454545454545454,0.04074581704339497,0.935656836461126,0.8260869565217391,0.9500329543582139,0.8389610389610389,0.956989247311828,0.8769230769230769,0.95,0.8142857142857143,False
35,85,1000,3,1,0.9752842313395946,0.9454545454545454,0.029829685885049195,0.9142091152815014,0.8260869565217391,0.915080738177624,0.8389610389610389,0.9428571428571428,0.8769230769230769,0.95,0.8142857142857143,False
36,91,1000,4,5,0.9770555280935903,0.9454545454545454,0.03160098263904487,0.9168900804289544,0.8260869565217391,0.9252553962761575,0.8389610389610389,0.9443447037701975,0.8769230769230769,0.95,0.8142857142857143,False
37,72,500,4,10,0.9731833910034603,0.9454545454545453,0.02772884554891497,0.9142091152815014,0.8369565217391305,0.9193030153237766,0.8461038961038961,0.942652329749104,0.8854961832061069,0.9508196721311475,0.8285714285714286,False
38,58,300,None,3,0.9944389520514089,0.9448051948051948,0.049633757246214105,0.9517426273458445,0.8804347826086957,0.9646358543417367,0.8746753246753247,0.9679715302491103,0.9185185185185185,0.9538461538461539,0.8857142857142857,False
39,50,300,4,3,0.9776734223101006,0.9448051948051948,0.03286822750490581,0.9168900804289544,0.8478260869565217,0.921033119130005,0.8532467532467533,0.9445438282647585,0.8939393939393939,0.9516129032258065,0.8428571428571429,False
40,86,1000,3,3,0.9740484429065743,0.9448051948051948,0.02924324810137957,0.9088471849865952,0.8260869565217391,0.9073982534190146,0.8389610389610389,0.9392857142857143,0.8769230769230769,0.95,0.8142857142857143,False
